MD;TVD;Inclinacion;Azimuth
3400;3400;0,1;227
3600;3600;0,2;280,3
3800;3800;0,5;291,3
4000;4000;0,5;290,3
4200;4200;0,5;249,3
4400;4400;0,6;267,3
4600;4600;0,7;262,3
4700;4700;0,6;263,3
4900;4900;0,5;263,3
5100;5100;0,5;229,3
5300;5300;0,5;227,3
5500;5500;0,4;240,3
5700;5700;0,4;225,3
5900;5900;0,1;273,3
6100;6100;0,4;251,3
6200;6200;0,6;291,3
6400;6400;0,7;291,3
6600;6600;0,5;224,3
6800;6800;0,3;213,3
7000;7000;0,6;309,9
7200;7200;0,5;321,3
7400;7400;0,2;242,3
7600;7600;0,1;338,3
7800;7800;0,3;287,3
7900;7900;0,3;1,3
8100;8100;0,3;329,3
8300;8300;0,4;6,3
8500;8500;0,3;339,3
8700;8700;0,4;334,3
8900;8900;0,4;354,3
9100;9100;0,9;327,3
9300;9300;0,6;294,3
9500;9500;0,3;277,3
9700;9700;0,5;73,3
9800;9800;1;3,3
10100;10100;1,6;341,3
10200;10200;1,6;9,3
10300;10300;1,3;13
10400;10400;1,1;21
10500;10500;1,7;40
10600;10600;1,5;43
10700;10700;1,4;103,3
10800;10800;0,7;37,3
10900;10900;0,8;21,3
11000;11000;1,1;4,3
11100;11100;1;345,3
11200;11200;0,6;321
11300;11300;0,7;291
11400;11400;0,66;254,9
11448;11447;0,79;249,6
11480;11479;1,23;274,1
11511;11510;1,85;299,7
11540;11542;3,35;290,2
11574;11573;4,41;310,4
11606;11605;6,7;307,4
11637;11635;7,8;307,9
11669;11667;9,9;308,1
11700;11697;11,5;308,8
11732;11729;13,7;309,7
11763;11759;15,4;310,1
11795;11790;17,5;309,7
11826;11819;18,6;309,6
11858;11849;20,5;310,4
11889;11878;22,5;311,8
11921;11907;24,5;312,8
11953;11936;26,7;313,6
11984;11963;28,4;314,8
12016;11992;30;316,1
12047;12018;31,9;317,5
12079;12045;33,8;319,4
12413;12283;54;334,7
12444;12299;60;335,8
12475;12314;65,3;336,5
12506;12326;67,4;334,3
12537;12338;68,9;334,3
12568;12348;70,9;338,1
12600;12358;72,3;336,7
12631;12367;73,3;336
12693;12383;77,3;336,3
12723;12389;78,8;336,9
12754;12395;80,8;337,9
12786;12400;81,8;339,5
12817;12404;82;340,5
12848;12408;83,6;342,9
12870;12411;84,8;345,2
12910;12414;85,4;346,9
12941;12416;85,8;347,6
12972;12418;86,2;349,4
13003;12420;86;350,9
13035;12422;86,1;352
13065;12424;84,9;353,8
13096;12427;85,1;353,9
13128;12429;85,8;353,8
13159;12432;86,2;353,8
13190;12433;86,7;353,8
13220;12435;87,2;353,7
13251;12437;88;355,3
13282;12441;88,3;355,5
13313;12438;89,7;357,1
13344;12438;90,5;357,5
13375;12438;92,1;358,9
13406;12436;92,8;359,9
13437;12434;93,4;359,8
13468;12433;92,4;1
13499;12431;92,5;0,8
13531;12430;89,9;0,7
13562;12431;88;0,7
13593;12432;87,6;0,3
13717;12433;91;359,9
13748;12433;90,9;0,5
13841;12430;92,5;359,9
13934;12424;93,8;0,6
14026;12420;91,4;359,5
14119;12418;91,6;359,8
14213;12417;89,8;1,4
14306;12416;91,2;1,3
14400;12415;89;2,7
14494;12416;89,9;2,6
14588;12415;91;0,8
14681;12413;90,8;1
14772;12414;89;3,4
14817;12415;88,6;1,7
14865;12416;88,6;1,7
14957;12416;90,3;1,4
15051;12415;91;2,9
15144;12415;90,9;3,9
15237;12413;89,6;2,17
15331;12412;91,9;22,9
15425;12409;92;1,2
15518;12406;90,7;1,58
15612;12405;90,9;0,09
15705;12404;90,3;358,4
15799;12404;90,4;358
15892;12402;90,4;358,5
15986;12402;91;359
16079;12400;91,2;359,9
16173;12397;92,9;2,37
16267;12393;91,4;1,41
16360;12391;90,7;356,8
